Arsenal,40,9
Aston Villa,34,7
Bournemouth,29,7
Brighton,32,6
Burnley,34,11
Chelsea,51,14
Crystal Palace,26,10
Everton,37,10
Leicester,58,16
Liverpool,66,27
Man City,68,18
Man Utd,44,12
Newcastle United,25,9
Norwich,25,5
Sheffield United,30,11
Southampton,35,10
Tottenham,47,11
Watford,27,6
West Ham,35,7
Wolves,41,10
